,"LR: 0.001, Dropout: 0.5, Optimizer: Adam","LR: 0.0005, Dropout: 0.3, Optimizer: Adam","LR: 0.001, Dropout: 0.4, Optimizer: SGD","LR: 0.002, Dropout: 0.5, Optimizer: Adam","LR: 0.0001, Dropout: 0.3, Optimizer: RMSprop"
train_loss,"[3.063234093321345, 2.5348226627762527, 2.481601337015157, 2.4480584812667563, 2.4236848933086548, 2.3984649892218193, 2.382243867285333, 2.3659651549950755, 2.358082646115789, 2.3434435132311013]","[2.630975830208972, 2.3801358658279783, 2.3369770842680517, 2.2962224502362174, 2.19818471352469, 2.119028243037201, 2.062945705919593, 2.0072105965702387, 1.9155711898073986, 1.8453635958694217]","[2.825439315358064, 2.445622913441117, 2.400971856154993, 2.37106596071047, 2.352268366826241, 2.3341520241508382, 2.321324135194039, 2.302812656186187, 2.2692540786511666, 2.2179972609618095]","[3.038385299390727, 2.521738518511085, 2.473478777112936, 2.4440309366009796, 2.4178275476974043, 2.398807692968122, 2.384259238406662, 2.3650556925418824, 2.3523903956199383, 2.34632053979154]","[2.6418215310038864, 2.380054137323022, 2.3364057974953765, 2.31413333648742, 2.2809344206133115, 2.201199073275664, 2.1391321779241035, 2.089429225644839, 2.042377117126787, 2.012581186747488]"
val_loss,"[2.5462301196632806, 2.5264951553973525, 2.6481582332443403, 2.9356891349121765, 3.1063936961876166, 3.5508670544886325, 2.802432047141777, 2.912362672470428, 3.071697397546454, 2.739889375456087]","[2.588207116493812, 2.858232013471834, 3.069344379089691, 2.6984508967661593, 2.7487081656089196, 2.8669782300571818, 2.8714540541827023, 3.336962816479442, 3.2410351850174286, 2.721042494197468]","[2.5662212817223518, 3.022453402424907, 3.2135647050626983, 3.151874057539217, 3.1462895372411706, 2.852755551809793, 2.9850509926513, 2.873318129843408, 2.8394591821419013, 2.4359955001663374]","[2.5324059292510315, 2.502316700233208, 2.8616129723224013, 2.717803813598968, 3.035276758801806, 2.9317388508346056, 2.9532462030976685, 3.0187690755823158, 2.871166501726423, 3.171867142666827]","[2.6189930045997705, 2.9652389694046186, 3.379921313170548, 3.2741904049129276, 2.9305578064132525, 3.181716977894961, 3.106682371307205, 4.694047969776196, 6.7323238640041145, 22.379723844947396]"
